n,fne_min_delta_A,fne_min_delta_B,fne_viol_A,fne_viol_B,rA,rB,augmented_residual,inner_residual,inner_iterations
618,0.0041141194032280858,2.2895668852340396e-06,0,0,-0.0037789942901191864,2.4868995751603507e-14,-0.10879350895501716,7.1212164689860587e-06,20
619,0.00019067298167824598,1.5666623881347509e-07,0,0,-0.0057747040913422865,7.9936057773011271e-15,-0.1788844590710319,9.154617548787036e-06,20
620,0.00027398446854926185,1.4090915807924901e-06,0,0,-0.0078137083718488043,1.3322676295501878e-15,-0.25411755730371155,1.0928458360213025e-05,20
621,0.002268304516289238,2.7310362325796047e-06,0,0,-0.0097134079891612046,1.7763568394002505e-15,-0.32715253731968374,1.2413575780444276e-05,20
622,3.99956018431614e-05,3.8477205042290989e-07,0,0,-0.011346847714611918,0,-0.39233438105458518,1.3605383428267882e-05,20
623,0.00015455847303117638,8.6882127476461615e-07,0,0,-0.012648154994068239,-2.6645352591003757e-15,-0.4462101751912062,1.4519054548555456e-05,20
624,1.9460839931758802e-06,7.8421535378385429e-07,0,0,-0.013603368682849393,0,-0.48742037561550688,1.5182977439236084e-05,20
625,0.0037852786418997304,8.5008751309615446e-06,0,0,-0.014234008807902265,-1.3322676295501878e-15,-0.51619845793591201,1.5632065629450048e-05,20
626,0.00046952261713977867,1.050652430720065e-06,0,0,-0.014579826848983207,-8.3266726846886741e-17,-0.53373706764897377,1.590200302288028e-05,20
627,4.8198292343097397e-05,2.9506311336504019e-07,0,0,-0.014684598502169573,-4.1286418728248009e-16,-0.54160739720093742,1.6024913580887903e-05,20
628,9.2534666818691063e-05,6.8888754143496764e-05,0,0,-0.014586327638679009,1.4432899320127035e-15,-0.54132264116841278,1.6026478082603489e-05,20
629,6.9186713298460063e-06,3.4775207078116816e-06,0,0,-0.014311649861373343,3.9968028886505635e-15,-0.53406217303694969,1.5924256579085512e-05,20
630,0.0025414630037102369,4.1467304435917042e-07,0,0,-0.013873615653587024,4.8849813083506888e-15,-0.52053480851667722,1.5726898820263211e-05,20
631,0.00013662848890132681,3.5354232043453735e-07,0,0,-0.013272097835866248,5.3290705182007514e-15,-0.50095136463836276,1.543397859611502e-05,20
632,4.35596310915159e-05,1.6681447123140821e-06,0,0,-0.012496454339011365,1.3322676295501878e-15,-0.47508621523316386,1.5036311218841845e-05,20
633,0.00016135461870444613,1.1521589213096361e-05,0,0,-0.011530495720817768,6.6613381477509392e-15,-0.44242288920661821,1.4516758417839621e-05,20
634,0.00050802491272174631,2.1261723358587376e-05,0,0,-0.010360021107452155,6.2172489379008766e-15,-0.40239040325605657,1.3851654352123067e-05,20
635,7.0200224467716752e-05,9.3885036025180082e-06,0,0,-0.0089829772018923393,-5.3290705182007514e-15,-0.35469661071581982,1.3013065234724529e-05,20
636,0.00011115543689261263,4.6622871774487126e-07,0,0,-0.0074214803909242733,1.3766765505351941e-14,-0.29974491932059522,1.1972083790756577e-05,20
637,3.6935883393878402e-10,2.6395770439406371e-05,0,0,-0.0057335050319764491,-7.1054273576010019e-15,-0.23907761747427259,1.0703218773329424e-05,20
638,0.00045200083502268097,7.5649597043599593e-06,0,0,-0.0040203523390935914,1.0880185641326534e-14,-0.17572966876858942,9.1896499004934418e-06,20
639,0.00083768484044762675,4.9529249247344189e-07,0,0,-0.002424994385318513,-1.021405182655144e-14,-0.11432607736143297,7.428714697863927e-06,20
640,0.00010256065277425096,3.1875308687915084e-06,0,0,-0.0011173137470841255,3.730349362740526e-14,-0.060755944176939636,5.4366111508642258e-06,20
641,0.00054118982352143017,2.9126266135991959e-07,0,0,-0.00026598406486755266,6.2172489379008766e-15,-0.021347493578723231,3.2513254189609303e-06,20
